1;2;3;4;5;6;7
1;;Высшее должностное лицо субъекта Российской Федерации;q;;;
2;;Первый заместитель высшего должностного лица субъекта Российской Федерации;a;;;
3;;Заместитель высшего должностного лица субъекта Российской Федерации - руководитель аппарата;g;;;
4;;Заместители высшего должностного лица субъекта Российской Федерации;;;;
5;;Председатель правительства субъекта Российской Федерации;;;;
6;;Министры субъекта Российской Федерации;;;;
7;;Представитель в Совете Федерации Федерального Собрания Российской Федерации от исполнительного органа государственной власти;;;;
8;;Председатель Законодательного Собрания субъекта Российской Федерации;;;;
9;;Первый заместитель председателя Законодательного Собрания;;;;
10;;Заместитель председателя Законодательного Собрания;;;;
11;;Представитель субъекта Российской Федерации в г. Москве;;;;
12;;Руководители комитетов (управлений) субъекта Российской Федерации;;;;
13;;Председатель Арбитражного суда субъекта Российской Федерации;;;;
14;;Прокурор субъекта Российской Федерации;;;;
15;;Руководители территориальных органов субъекта Российской Федерации;;;;
16;;Глава администрации (столицы субъекта);;;;
17;;Главы администраций районов субъекта Российской Федерации;;;;
